,storeNumber,city,totalSalesDollars,avgSalesDollars,countyNumber,avgPrice(L),zipCode,totalVolSold(L),avgVolSold(L),avgMargin,totalSalesQ1,avgSalesQ1
1034,4834,MUSCATINE,270.72,90.24,70.0,12.5177777778,52761,24.0,8.0,2.16666666667,134.52,134.52
1035,4836,IOWA CITY,7815.83,100.202948718,52.0,17.183980464,52240,575.03,7.37217948718,4.00948717949,2441.55,116.264285714
1036,4837,IOWA CITY,8566.72,103.213493976,52.0,15.6201835915,52240,652.52,7.86168674699,4.05204819277,1614.21,146.746363636
1037,4838,OGDEN,1443.15,111.011538462,8.0,17.3501098901,50212,101.4,7.8,3.18846153846,219.12,109.56
1038,4839,Northwood,12309.75,117.235714286,98.0,14.4903628118,50459,1134.08,10.8007619048,4.872,2801.3,112.052
1039,4840,WATERLOO,7856.09,77.7830693069,7.0,22.8266030174,50707,400.45,3.96485148515,4.25267326733,1861.75,54.7573529412
1040,4841,DAVENPORT,3708.76,95.0964102564,82.0,20.2144810745,52804,219.75,5.63461538462,3.54307692308,687.12,85.89
1041,4843,MUSCATINE,1737.77,46.9667567568,70.0,23.855006435,52761,92.38,2.49675675676,4.99324324324,180.83,22.60375
1042,4844,IOWA CITY,2137.9,46.4760869565,52.0,20.1204037267,52240,127.55,2.77282608696,4.7897826087,561.54,56.154
1043,4845,CEDAR RAPIDS,5881.79,120.036530612,57.0,23.0246933059,52401,406.45,8.29489795918,5.3712244898,1072.61,82.5084615385
1044,4846,ONAWA,3138.69,112.096071429,67.0,16.4633843537,51040,201.6,7.2,3.23535714286,1122.78,140.3475
1045,4847,LECLAIRE,15528.35,68.4068281938,82.0,17.4670264317,52753,1258.43,5.54374449339,4.6718061674,4775.9,88.4425925926
1046,4848,WINTERSET,4753.04,66.0144444444,61.0,18.0158465608,50273,315.55,4.38263888889,3.95555555556,1169.96,64.9977777778
1047,4849,DES MOINES,9997.34,499.867,77.0,41.1976666667,50314,249.0,12.45,10.0625,1474.32,294.864
1048,4852,CEDAR RAPIDS,2630.45,119.565909091,57.0,16.5593939394,52404,181.03,8.22863636364,4.01681818182,501.18,83.53
1049,4853,JOHNSTON,2658.89,60.4293181818,77.0,17.6011904762,50131,182.05,4.1375,3.65704545455,381.91,63.6516666667
1050,4854,ARMSTRONG,2116.44,151.174285714,32.0,13.5212244898,50514,195.0,13.9285714286,3.30285714286,723.72,144.744
1051,4855,STRAWBERRY POINT,1038.36,259.59,22.0,15.7895238095,52076,87.0,21.75,3.9125,358.32,358.32
1052,4856,LISBON,8916.77,81.0615454545,57.0,14.9997857143,52253,740.6,6.73272727273,4.49472727273,1931.43,74.2857692308
1053,4857,WEST BURLINGTON,2584.44,64.611,29.0,23.60725,52655,142.6,3.565,4.37,1008.36,84.03
1054,4858,WEST BURLINGTON,711.53,39.5294444444,29.0,19.1048148148,52655,43.15,2.39722222222,4.15277777778,134.7,67.35
1055,4859,BURLINGTON,4126.95,114.6375,29.0,18.1625,52601,263.5,7.31944444444,4.07472222222,1750.66,109.41625
1056,4860,CEDAR RAPIDS,21244.52,113.002765957,57.0,25.1024012158,52404,890.65,4.7375,4.59239361702,1915.39,100.81
1057,4861,CEDAR RAPIDS,5796.19,59.1447959184,57.0,18.7615354713,52404,421.46,4.3006122449,4.22693877551,1297.59,61.79
1058,4862,KINGSLEY,4294.86,113.022631579,75.0,13.5613784461,51028,375.75,9.88815789474,4.36552631579,1355.64,123.24
1059,4864,CLINTON,17360.31,134.576046512,23.0,17.5638796604,52733,1113.97,8.63542635659,3.96364341085,5004.45,128.319230769
1060,4866,COUNCIL BLUFFS,11120.2,45.3885714286,78.0,19.3721098154,51501,734.9,2.99959183673,4.09934693878,2444.94,52.02
1061,4867,COUNCIL BLUFFS,6364.7,106.078333333,78.0,14.6526666667,51501,523.58,8.72633333333,2.933,2205.12,122.506666667
1062,4868,WAUKEE,5807.01,93.6614516129,25.0,16.0842703533,50263,424.52,6.84709677419,4.30048387097,1469.4,91.8375
1063,4869,GUTTENBERG,12800.22,83.1183116883,22.0,19.5430024737,52052,811.1,5.26688311688,5.95461038961,3453.69,95.9358333333
