,storeNumber,city,totalSales15,averageSale15,countyNumber,averagePrice(L),zipCode,totalVolSold(L)15,averageVolSold(L)15,averageMargin15,predictor,Q1AverageSales15,TotalSales16toDate,AverageSale16toDate,Q1TotalSales16,Q1AverageSale16
1126,4945.0,OSAGE,12057.11,34.5475931232,66.0,16.6718802019,50461,907.22,2.59948424069,4.97621776504,3152.48,38.9195061728,2767.47,40.1082608696,2767.47,40.1082608696
1127,4947.0,CEDAR FALLS,17190.81,48.4248169014,7.0,18.2847391013,50647,1202.06,3.38608450704,4.5705915493,3181.19,48.1998484848,4010.75,40.5126262626,4010.75,40.5126262626
1128,4948.0,WHEATLAND,894.04,47.0547368421,23.0,16.6363909774,52777,78.12,4.11157894737,4.29421052632,324.53,64.906,771.04,110.148571429,771.04,110.148571429
1129,4949.0,DAVENPORT,5017.54,76.0233333333,82.0,16.4127922078,52802,425.96,6.45393939394,3.02742424242,1180.06,78.6706666667,1900.06,76.0024,1900.06,76.0024
1130,4950.0,CEDAR RAPIDS,4532.63,82.4114545455,57.0,17.2252900433,52403,306.89,5.57981818182,3.16181818182,1063.04,96.64,2065.23,121.484117647,2065.23,121.484117647
1131,4952.0,DAVENPORT,8550.78,140.176721311,82.0,21.0132084309,52804,465.3,7.62786885246,4.52836065574,1639.58,126.121538462,1641.66,136.805,1641.66,136.805
1132,4953.0,LOST NATION,2555.05,106.460416667,23.0,20.489702381,52254,170.27,7.09458333333,4.59125,806.78,115.254285714,632.34,70.26,632.34,70.26
1134,4956.0,CEDAR RAPIDS,7224.64,84.9957647059,57.0,20.6664593838,52405,467.77,5.50317647059,4.32764705882,1591.71,79.5855,1262.83,66.4647368421,1262.83,66.4647368421
1135,4957.0,WALL LAKE,1712.64,171.264,81.0,17.7476190476,51466,103.5,10.35,4.47,297.0,148.5,544.2,136.05,544.2,136.05
1136,4958.0,CEDAR FALLS,11312.56,57.4241624365,7.0,18.4222649263,50613,768.63,3.9016751269,4.58670050761,2239.2,57.4153846154,2337.93,46.7586,2337.93,46.7586
1137,4959.0,CEDAR FALLS,26035.06,150.491676301,7.0,17.2291038843,50613,1897.2,10.9664739884,4.4676300578,4118.95,132.869354839,4032.16,112.004444444,4032.16,112.004444444
1138,4960.0,AMES,4769.37,183.437307692,85.0,14.9165384615,50010,493.5,18.9807692308,4.49346153846,807.17,134.528333333,1038.92,115.435555556,1038.92,115.435555556
1139,4961.0,DUBUQUE,450.01,45.001,31.0,19.8073333333,52003,21.63,2.163,3.727,67.26,67.26,196.66,65.5533333333,196.66,65.5533333333
1140,4962.0,DAVENPORT,34468.97,247.978201439,82.0,20.7101336074,52803,2257.15,16.2384892086,3.38467625899,5823.46,181.983125,6808.53,252.167777778,6808.53,252.167777778
1141,4967.0,BLUE GRASS,8644.12,24.9110086455,82.0,16.0173775216,52726,697.83,2.01103746398,4.03942363112,1046.51,18.0432758621,1702.39,21.8255128205,1702.39,21.8255128205
1142,4968.0,BROOKLYN,994.74,124.3425,79.0,13.3658333333,52211,87.0,10.875,3.06625,55.32,55.32,60.12,60.12,60.12,60.12
1143,4969.0,CLEAR LAKE,59746.53,130.450938865,17.0,20.407819713,50428,4024.75,8.78766375546,6.24364628821,10599.38,111.572421053,22878.49,189.078429752,22878.49,189.078429752
1144,4970.0,WEST LIBERTY,6050.11,40.3340666667,70.0,17.7231333333,52776,478.31,3.18873333333,4.61313333333,1121.65,32.9897058824,1690.07,67.6028,1690.07,67.6028
1145,4971.0,PLEASANT HILL,20142.38,214.280638298,77.0,18.5581724179,50327,1887.95,20.0845744681,5.2620212766,2352.25,168.017857143,5369.7,185.162068966,5369.7,185.162068966
1146,4972.0,MONONA,5796.74,50.4064347826,22.0,15.1062443064,52159,450.75,3.91956521739,4.7452173913,809.5,44.9722222222,1331.76,45.9227586207,1331.76,45.9227586207
1147,4973.0,WEST UNION,18474.4,98.7935828877,33.0,14.5243952126,52175,1772.13,9.47663101604,4.82695187166,2378.18,67.948,5958.03,68.4831034483,5958.03,68.4831034483
1148,4974.0,DES MOINES,4640.72,84.3767272727,77.0,21.2403636364,50317,272.54,4.95527272727,4.20654545455,835.64,69.6366666667,1787.28,89.364,1787.28,89.364
1149,4975.0,SIOUX CITY,2866.64,130.301818182,97.0,18.7936147186,51104,166.2,7.55454545455,4.28227272727,603.3,150.825,546.66,182.22,546.66,182.22
1150,4978.0,WATERLOO,9250.67,126.721506849,7.0,19.4375994781,50702,571.95,7.83493150685,4.84123287671,3287.37,131.4948,1502.4,115.569230769,1502.4,115.569230769
1151,4979.0,CEDAR RAPIDS,31883.49,113.869607143,57.0,23.899329932,52402,1262.79,4.50996428571,3.91525,6794.03,78.0922988506,1057.26,176.21,1057.26,176.21
1152,4980.0,WASHBURN,1864.14,155.345,7.0,18.5888888889,50702,141.75,11.8125,4.27333333333,252.84,126.42,410.88,136.96,410.88,136.96
1153,4981.0,TRAER,2824.86,201.775714286,86.0,17.4014285714,50675,178.3,12.7357142857,3.19785714286,252.84,126.42,1214.88,173.554285714,1214.88,173.554285714
