schoolID,sysID,schoolName,sysName,county,street,city,state,zip,adress,latitude,longitude,locClass,chrtr,titleI,stdTchRatio,freeLnch,reducedLnch
294,675,AUSTIN ROAD ELEMENTARY SCHOOL,HENRY COUNTY,HENRY COUNTY,50 AUSTIN RD,STOCKBRIDGE,GA,30281,"50 AUSTIN RD,STOCKBRIDGE,GA,30281",33.606725,-84.184074,41,No,Yes,13.6,241,34
397,675,AUSTIN ROAD MIDDLE SCHOOL,HENRY COUNTY,HENRY COUNTY,100 AUSTIN RD,STOCKBRIDGE,GA,30281,"100 AUSTIN RD,STOCKBRIDGE,GA,30281",33.609379,-84.183834,41,No,No,18.9,406,80
305,660,AUTREY MILL MIDDLE SCHOOL,FULTON COUNTY,FULTON COUNTY,4110 OLD ALABAMA RD,ALPHARETTA,GA,30022,"4110 OLD ALABAMA RD,ALPHARETTA,GA,30022",34.018909,-84.239607,21,No,No,14.5,108,33
108,628,AVERY ELEMENTARY SCHOOL,CHEROKEE COUNTY,CHEROKEE COUNTY,6391 E CHEROKEE DR,CANTON,GA,30115,"6391 E CHEROKEE DR,CANTON,GA,30115",34.214657,-84.39454,21,No,No,19.5,196,16
5050,644,AVONDALE ELEMENTARY SCHOOL,DEKALB COUNTY,DEKALB COUNTY,8 LAKESHORE DR,AVONDALE ESTATES,GA,30002,"8 LAKESHORE DR,AVONDALE ESTATES,GA,30002",33.774001,-84.261869,21,No,Yes,13.6,438,19
4050,633,AWTREY MIDDLE SCHOOL,COBB COUNTY,COBB COUNTY,3601 NOWLIN RD NW,KENNESAW,GA,30144,"3601 NOWLIN RD NW,KENNESAW,GA,30144",34.042432,-84.647476,21,No,No,16.4,245,54
208,726,AZ KELSEY ACADEMY,SPALDING COUNTY,SPALDING COUNTY,200 A Z KELSEY AVE,GRIFFIN,GA,30223,"200 A Z KELSEY AVE,GRIFFIN,GA,30223",33.258988,-84.256656,21,No,Yes,11.4,53,4
3050,631,BABB MIDDLE SCHOOL,CLAYTON COUNTY,CLAYTON COUNTY,5500 REYNOLDS RD,FOREST PARK,GA,30297,"5500 REYNOLDS RD,FOREST PARK,GA,30297",33.60403,-84.353296,21,No,Yes,16.6,828,0
3050,603,BACON COUNTY ELEMENTARY SCHOOL,BACON COUNTY,BACON COUNTY,523 E 16TH ST,ALMA,GA,31510,"523 E 16TH ST,ALMA,GA,31510",31.538289,-82.456436,33,No,Yes,17.3,277,33
302,603,BACON COUNTY HIGH SCHOOL,BACON COUNTY,BACON COUNTY,1190 US HIGHWAY 1 S,ALMA,GA,31510,"1190 US HIGHWAY 1 S,ALMA,GA,31510",31.548403,-82.460007,33,No,No,16.7,291,36
202,603,BACON COUNTY MIDDLE SCHOOL,BACON COUNTY,BACON COUNTY,1188 US HWY 1S,ALMA,GA,31510,"1188 US HWY 1S,ALMA,GA,31510",31.500005,-82.457849,33,No,Yes,14.3,271,42
102,603,BACON COUNTY PRIMARY SCHOOL,BACON COUNTY,BACON COUNTY,251 CUMBERLAND RD,ALMA,GA,31510,"251 CUMBERLAND RD,ALMA,GA,31510",31.557639,-82.47973,33,No,Yes,16.9,439,32
494,751,BACON ELEMENTARY SCHOOL,WAYNE COUNTY,WAYNE COUNTY,1425 W ORANGE ST,JESUP,GA,31545,"1425 W ORANGE ST,JESUP,GA,31545",31.616463,-81.902816,32,No,Yes,15.8,535,50
