,year,sysID,sysName,schoolID,schoolName,grd,ccrpi,street,city,county,state,zip,locClass,titleI,chrtr,totStudnts,crprlPun,dtntn,iss,oss,altSchl,physRest,busSusp,explsn,other_discipline_action,pctDisc,bully,disCond,gngRel,hom,sexRelated,drugAlc,weapons,thftRbry,violence,pctBehavrs,stdTchRatio,expPerStudent,salBenSum,freeLnch,reducedLnch,pctMobile,pctAbs5orLess,pctAbsSix-Fiftn,pctOverFiftn,pctSnapTanfHmls,pctAsian,pctNative,pctBlck,pctHisp,pctMulti,pctWhite,pctMigrant,pctSPED,pctESOL,pctAltProg,pctGiftd
52,2015,608,Bartow County,296,Kingston Elementary School,E,69.8,240 Hardin Bridge Rd,Kingston,Bartow County,GA,30145,41.0,Yes,No,590,0,0,4,0,0,0,0,0,0,0.00677966101695,0,1,0,0,0,0,0,0,0,0.00169491525424,13.4,6196.8,69533900.14,391.0,63.0,0.285444229841,49.7,41.0,9.3,40,1,0,17,18,4,59,0,9.8,11.2,0.4,7.0
53,2015,608,Bartow County,301,Adairsville Middle School,M,72.6,485 Old Highway 41 Nw,Adairsville,Bartow County,GA,30103,41.0,Yes,No,760,0,0,179,68,7,0,0,0,8,0.334210526316,3,110,0,0,3,7,5,2,19,0.196052631579,14.9,1.24,69533900.14,334.0,69.0,0.123032905161,45.9,40.3,13.8,29,1,0,5,5,3,87,0,12.2,1.3,0.9,19.8
54,2015,608,Bartow County,377,Hamilton Crossing Elementary School,E,61.2,116 Hamilton Crossing Rd Nw,Cartersville,Bartow County,GA,30120,41.0,Yes,No,611,0,0,36,4,0,0,0,0,2,0.0654664484452,0,2,0,0,1,0,0,2,7,0.0196399345336,13.6,6847.55,69533900.14,345.0,53.0,0.113752119243,57.9,34.5,7.5,27,2,0,11,22,4,61,0,14.0,15.8,0.0,12.4
55,2015,608,Bartow County,396,Taylorsville Elementary School,E,66.8,1502 Old Alabama Rd,Taylorsville,Bartow County,GA,30178,41.0,Yes,No,547,0,1,2,11,0,0,0,0,2,0.0255941499086,0,47,0,0,0,0,0,0,1,0.0877513711152,14.1,6274.31,69533900.14,258.0,63.0,0.159259259701,72.0,26.3,1.6,30,0,0,5,8,3,83,0,8.3,3.0,0.0,4.2
56,2015,608,Bartow County,2052,Emerson Elementary School,E,71.7,54 7Th St,Emerson,Bartow County,GA,30137,41.0,Yes,No,475,0,0,10,7,0,0,0,0,0,0.0357894736842,1,14,0,0,2,0,0,0,3,0.0421052631579,14.7,0.84,69533900.14,285.0,37.0,0.275862067938,49.3,39.2,11.6,44,0,0,4,10,6,79,0,11.8,5.7,0.0,10.6
57,2015,609,Ben Hill County,111,Ben Hill Elementary School,E,69.8,328 Lobinger Ave,Fitzgerald,Ben Hill County,GA,31750,33.0,Yes,No,752,26,0,202,37,0,0,104,0,7,0.490691489362,0,54,0,0,3,2,2,3,41,0.139627659574,14.7,5407.31,15758781.72,523.0,42.0,0.104885056615,58.9,35.2,5.9,56,1,0,43,14,4,39,1,13.2,3.4,0.3,9.0
59,2015,609,Ben Hill County,291,Fitzgerald High School,H,67.1,601 W Cypress St,Fitzgerald,Ben Hill County,GA,31750,33.0,Yes,No,866,233,1069,929,269,44,0,69,3,10,3.0207852194,0,157,0,0,3,27,8,4,36,0.271362586605,15.1,5332.42,15758781.72,575.0,57.0,0.136363640428,45.0,41.3,13.6,42,1,0,45,9,2,44,0,15.5,0.4,9.0,9.6
60,2015,609,Ben Hill County,296,Ben Hill County Middle School,M,72.2,134 Jc Hunter Rd,Fitzgerald,Ben Hill County,GA,31750,41.0,Yes,No,745,26,17,424,124,14,0,125,0,18,0.979865771812,98,12,0,0,3,19,5,5,57,0.26711409396,14.0,5312.26,15758781.72,514.0,64.0,0.139092236757,49.5,36.6,13.8,48,1,0,37,12,2,47,0,14.1,1.3,2.5,10.4
61,2015,610,Berrien County,101,Berrien High School,H,79.9,500 E Smith Ave,Nashville,Berrien County,GA,31639,32.0,No,No,873,3,0,546,94,30,0,0,0,0,0.770904925544,0,100,0,0,4,49,0,7,44,0.233676975945,15.1,5856.87,15162551.38,400.0,79.0,0.151851847768,49.8,34.1,16.0,32,1,0,13,8,2,76,3,11.6,0.7,2.8,11.0
62,2015,610,Berrien County,106,Berrien Academy Performance Learning Center,H,48.0,P.O. Box 622,Nashville,Berrien County,GA,31639,32.0,Yes,Yes,104,0,0,0,40,0,0,0,0,0,0.384615384615,0,25,0,0,0,11,0,0,1,0.355769230769,12.8,310.73,15162551.38,57.0,4.0,0.774647891521,24.0,26.0,50.0,45,0,1,7,6,1,85,0,1.4,0.0,93.0,
