schoolID,sysID,schoolName,sysName,county,street,city,state,zip,locClass,chrtr,titleI,stdTchRatio,freeLnch,reducedLnch
205,606,BANKS COUNTY PRIMARY SCHOOL,BANKS COUNTY,BANKS COUNTY,266 HIGHWAY 51 S,HOMER,GA,30547,42,No,Yes,13.2,380,51
176,660,BANNEKER HIGH SCHOOL,FULTON COUNTY,FULTON COUNTY,5935 FELDWOOD RD,COLLEGE PARK,GA,30349,21,No,Yes,15.3,1307,69
407,633,BARBER MIDDLE SCHOOL,COBB COUNTY,COBB COUNTY,4222 CANTRELL RD NW,ACWORTH,GA,30101,21,No,Yes,17.7,456,97
4052,611,BARDEN ELEMENTARY SCHOOL,BIBB COUNTY,BIBB COUNTY,2521 ANDERSON DR,MACON,GA,31206,13,No,Yes,15.3,355,4
178,722,BARKSDALE ELEMENTARY SCHOOL,ROCKDALE COUNTY,ROCKDALE COUNTY,596 OGLESBY BRIDGE RD SE,CONYERS,GA,30094,21,No,Yes,16.2,315,57
2056,629,BARNETT SHOALS ELEMENTARY SCHOOL,CLARKE COUNTY,CLARKE COUNTY,3220 BARNETT SHOALS RD,ATHENS,GA,30605,12,No,Yes,10.8,264,36
187,660,BARNWELL ELEMENTARY SCHOOL,FULTON COUNTY,FULTON COUNTY,9425 BARNWELL RD,ALPHARETTA,GA,30022,21,No,No,15.8,55,20
3056,629,BARROW ELEMENTARY SCHOOL,CLARKE COUNTY,CLARKE COUNTY,100 PINECREST DR,ATHENS,GA,30605,12,No,Yes,13.4,292,12
2050,721,BARTON CHAPEL ELEMENTARY SCHOOL,RICHMOND COUNTY,RICHMOND COUNTY,2329 BARTON CHAPEL RD,AUGUSTA,GA,30906,12,No,Yes,17.2,466,0
6003,608,BARTOW COUNTY TRANSITION PROGRAM,BARTOW COUNTY,BARTOW COUNTY,738 GRASSDALE RD NW,CARTERSVILLE,GA,30121,23,No,No,17.10792873,428.0284571,46.01911961
196,628,BASCOMB ELEMENTARY SCHOOL,CHEROKEE COUNTY,CHEROKEE COUNTY,1335 WYNGATE PKWY,WOODSTOCK,GA,30189,21,No,No,18.9,87,19
103,623,BATTLEFIELD ELEMENTARY SCHOOL,CATOOSA COUNTY,CATOOSA COUNTY,2206 BATTLEFIELD PKWY,FORT OGLETHORPE,GA,30742,21,No,Yes,17.6,195,44
102,623,BATTLEFIELD PRIMARY,CATOOSA COUNTY,CATOOSA COUNTY,2204 BATTLEFIELD PKWY,FT OGLETHORPE,GA,30742,21,No,Yes,16.4,279,42
176,747,BAY CREEK ELEMENTARY SCHOOL,WALTON COUNTY,WALTON COUNTY,100 HOMER MOON RD,LOGANVILLE,GA,30052,21,No,No,18.5,294,64
1010,667,BAY CREEK MIDDLE SCHOOL,GWINNETT COUNTY,GWINNETT COUNTY,821 COOPER RD,GRAYSON,GA,30017,21,No,No,19.3,327,118
198,622,BAY SPRINGS MIDDLE SCHOOL,CARROLL COUNTY,CARROLL COUNTY,122 BAY SPRINGS RD,VILLA RICA,GA,30180,21,No,Yes,15.6,449,60
3050,721,BAYVALE ELEMENTARY SCHOOL,RICHMOND COUNTY,RICHMOND COUNTY,3309 MILLEDGEVILLE RD,AUGUSTA,GA,30909,12,No,Yes,16.3,441,0
604,761,BAZOLINE E. USHER/COLLIER HEIGHTS ELMENTARY SCHOOL,ATLANTA PUBLIC SCHOOLS,FULTON COUNTY,631 HARWELL RD NW,ATLANTA,GA,30318,11,No,Yes,11.2,400,0
2052,625,BEACH HIGH SCHOOL,CHATHAM COUNTY,CHATHAM COUNTY,3001 HOPKINS ST,SAVANNAH,GA,31405,12,No,Yes,15,710,62
114,607,BEAR CREEK MIDDLE SCHOOL,BARROW COUNTY,BARROW COUNTY,228 JEFFERSON ST,STATHAM,GA,30666,31,No,Yes,16.4,391,84
391,660,BEAR CREEK MIDDLE SCHOOL,FULTON COUNTY,FULTON COUNTY,7415 HERNDON RD,FAIRBURN,GA,30213,21,No,Yes,13.2,731,79
280,667,BEAVER RIDGE ELEMENTARY SCHOOL,GWINNETT COUNTY,GWINNETT COUNTY,1978 BEAVER RUIN RD,NORCROSS,GA,30071,21,No,Yes,15.6,1119,102
1750,726,BEAVERBROOK ELEMENTARY SCHOOL,SPALDING COUNTY,SPALDING COUNTY,251 BIRDIE RD,GRIFFIN,GA,30223,41,No,Yes,16.8,367,26
206,755,BEAVERDALE ELEMENTARY SCHOOL,WHITFIELD COUNTY,WHITFIELD COUNTY,9196 HWY. 2,DALTON,GA,30721,41,No,Yes,12.9,235,37
3051,761,BEECHER HILLS ELEMENTARY SCHOOL,ATLANTA PUBLIC SCHOOLS,FULTON COUNTY,2257 BOLLING BROOK DR SW,ATLANTA,GA,30311,11,No,Yes,14.2,363,0
5050,633,BELLS FERRY ELEMENTARY SCHOOL,COBB COUNTY,COBB COUNTY,2600 BELLS FERRY RD,MARIETTA,GA,30066,21,No,No,14.9,223,51
1052,633,BELMONT HILLS ELEMENTARY SCHOOL,COBB COUNTY,COBB COUNTY,605 GLENDALE PL SE,SMYRNA,GA,30080,21,No,Yes,8.4,286,10
1050,664,BELWOOD ELEMENTARY SCHOOL,GORDON COUNTY,GORDON COUNTY,590 BELWOOD RD SE,CALHOUN,GA,30701,32,No,Yes,14.4,341,54
296,609,BEN HILL COUNTY MIDDLE SCHOOL,BEN HILL COUNTY,BEN HILL COUNTY,134 JC HUNTER RD,FITZGERALD,GA,31750,41,No,Yes,14,514,64
196,609,BEN HILL COUNTY PRIMARY SCHOOL,BEN HILL COUNTY,BEN HILL COUNTY,221 JC HUNTER RD,FITZGERALD,GA,31750,41,No,Yes,19.9,877,67
