,year,sysID,sysName,schoolID,schoolName,adress,latitude,longitude,grd,ccrpi,titleI,chrtr,cluster
95,2015,611,Bibb County,4052,Barden Elementary School,"2521 Anderson Dr,Macon,Ga,31206",32.788773,-83.705594,E,45.1,Yes,No,2
96,2015,611,Bibb County,5050,Appling Middle School,"1210 Shurling Dr,Macon,Ga,31211",32.861437,-83.602274,M,51.1,Yes,No,2
97,2015,611,Bibb County,5054,Burghard Elementary School,"6020 Bloomfield Rd,Macon,Ga,31206",32.77666,-83.707792,E,48.6,Yes,No,2
98,2015,611,Bibb County,5067,Rice Elementary School,"3750 Jessie Rice St,Macon,Ga,31206",32.79505,-83.691393,E,58.9,Yes,No,2
99,2015,612,Bleckley County,105,Bleckley County High School,"1 Royal Dr,Cochran,Ga,31014",32.400228,-83.328512,H,88.1,Yes,No,3
100,2015,612,Bleckley County,112,Bleckley Middle School,"590 Ga Highway 26 E,Cochran,Ga,31014",32.409642,-83.325228,M,81.8,Yes,No,3
101,2015,612,Bleckley County,197,Bleckley County Elementary School,"470 Ga Highway 26 E,Cochran,Ga,31014",32.405685,-83.330564,E,85.7,Yes,No,3
102,2015,613,Brantley County,110,Atkinson Elementary School,"4327 Highway 110 E,Waynesville,Ga,31566",31.206019,-81.830138,M,78.6,Yes,No,3
103,2015,613,Brantley County,110,Atkinson Elementary School,"4327 Highway 110 E,Waynesville,Ga,31566",31.206019,-81.830138,E,82.8,Yes,No,3
104,2015,613,Brantley County,194,Brantley County Middle School,"10990 Highway 82,Nahunta,Ga,31553",31.196961,-82.029756,M,84.3,Yes,No,3
105,2015,613,Brantley County,294,Nahunta Elementary School,"9110 Main St S,Nahunta,Ga,31553",31.197999,-81.984199,E,64.3,Yes,No,3
106,2015,613,Brantley County,294,Nahunta Elementary School,"9110 Main St S,Nahunta,Ga,31553",31.197999,-81.984199,M,76.0,Yes,No,3
107,2015,613,Brantley County,1050,Brantley County High School,"10804 Highway 82,Nahunta,Ga,31553",31.195929,-82.028862,H,71.7,No,No,1
108,2015,613,Brantley County,2050,Hoboken Elementary School,"224 Church St N,Hoboken,Ga,31542",31.186383,-82.130742,M,73.6,Yes,No,3
109,2015,613,Brantley County,2050,Hoboken Elementary School,"224 Church St N,Hoboken,Ga,31542",31.186383,-82.130742,E,91.7,Yes,No,3
110,2015,614,Brooks County,193,Quitman Elementary School,"2200 Moultrie Hwy,Quitman,Ga,31643",31.175048,-83.757195,E,46.2,Yes,No,2
111,2015,614,Brooks County,197,Brooks County Middle School,"2171 Moultrie Hwy,Quitman,Ga,31643",31.175266,-83.757871,M,56.7,Yes,No,2
112,2015,614,Brooks County,393,North Brooks Elementary School,"10295 Coffee Rd,Morven,Ga,31638",30.933587,-83.515178,E,82.5,Yes,No,3
113,2015,615,Bryan County,101,Dr. George Washington Carver Elementary School,"476 Frances Meeks Way,Richmond Hill,Ga,31324",31.939256,-81.312487,E,84.3,No,No,1
114,2015,615,Bryan County,199,Richmond Hill Middle School,"503 Warren Hill Drive,Richmond Hill,Ga,31324",31.860118,-81.327737,M,79.4,No,No,1
115,2015,615,Bryan County,286,Bryan County Elementary School,"104 Ash Branch Rd,Pembroke,Ga,31321",32.141706,-81.620612,E,75.3,Yes,No,3
116,2015,615,Bryan County,402,Bryan County Middle School,"600 Payne Dr,Pembroke,Ga,31321",32.149888,-81.607279,M,59.2,Yes,No,3
117,2015,615,Bryan County,502,Bryan County High School,"1234 Camellia Dr,Pembroke,Ga,31321",32.149207,-81.609899,H,63.8,No,No,1
118,2015,616,Bulloch County,100,Mill Creek Elementary School,"239 Beasley Rd,Statesboro,Ga,30461",32.452438,-81.744918,E,68.9,Yes,No,2
119,2015,616,Bulloch County,107,New Nevils Elementary School,"8438 Nevils Groveland Rd,Statesboro,Ga,30458",32.267916,-81.758088,E,82.1,Yes,No,3
120,2015,616,Bulloch County,199,Langston Chapel Elementary School,"150 Langston Chapel Rd,Statesboro,Ga,30458",32.397448,-81.808707,E,59.2,Yes,No,2
121,2015,616,Bulloch County,200,Brooklet Elementary School,"600 W Lane St,Brooklet,Ga,30415",32.386478,-81.670438,E,85.3,Yes,No,3
122,2015,616,Bulloch County,203,New Southeast Bulloch High School,"9184 Brooklet Denmark Rd,Brooklet,Ga,30415",32.363701,-81.678629,H,68.9,No,No,1
123,2015,616,Bulloch County,299,Langston Chapel Middle School,"156 Langston Chapel Rd,Statesboro,Ga,30458",32.397424,-81.808621,M,61.3,Yes,No,3
